a;b;c
Paskov;159142;54871
Lukovice;157514;53240
Dìtmarovice;159661;55382
enklava;158603;54322
Jaroslavické_Paseky;157444;53161
Borošín;159020;54713
Køivé;158249;53935
Bartovice;159354;55036
Ostroská_Lhota;156722;52403
Jarcová;158222;53898
Hošálková;157935;53608
Tvaroná_Lhota;156407;52078
eraviny;156506;52175
Karlov_Dvor;154933;50600
Vratimov;159264;54930
Moøkov;158518;54179
Horní_Lutynì;159605;55266
Hvozdná;157595;53255
Štramberk;158694;54352
Mikulùvka;158123;53775
Krhová;158360;54010
Nedachlebice;157118;52767
Kateøinice;158023;53657
Ostrata;157667;53300
Kašava;157745;53357
Dolní_Lutynì;159676;55284
Valašské_Meziøíèí;158310;53913
Kudlov;157453;53049
Míkovice;156919;52513
Pøíbor;158851;54435
Michálkovice;159505;55086
Velíková;157705;53278
Krmelín;159133;54706
Oznice;158184;53752
Rychvald;159572;55129
Nová_Bìlá;159211;54766
Bøezolupy;157188;52741
Hodslavice;158523;54071
Šarovy;157275;52821
Mistøice;157077;52608
Polièná;158292;53819
Svìtlov;159154;54664
Rybí;158722;54228
Skotnice;158902;54403
Vlèková;157794;53290
Milokoš;156691;52185
Prchalov;158870;54361
Skorotín;158929;54419
Vìøòovice;159765;55246
Kostelec_u_Zlina;157620;53099
Veselí_nad_Moravou;156652;52129
Kunovice;156944;52410
Skøeèoò;159690;55142
Mštìnovice;158424;53872
Topolná;157190;52633
Košovy;157997;53440
Maøatice;157001;52438
Bludovice;158636;54063
Libhoš;158797;54223
Vièanov;157966;53391
Uherskı_Ostroh;156754;52170
Ostroské_Pøedmìstí;156748;52155
Sirkové_Láznì;158742;54148
Petøvald;159068;54472
Branky;158275;53679
Lhota_u_Chorynì;158340;53743
Mošnov;159005;54397
Proskovice;159209;54595
Vítová;157741;53124
Bohumín;159693;55073
Mladcová;157556;52933
Stará_Bìlá;159242;54616
Muglinov;159548;54919
Uherské_Hradištì;157023;52379
Louky;157499;52846
Lukovské;157710;53054
Vılanta;157681;53023
Dolní_Ves;157693;53031
Pudlov;159663;54997
Novı_Jièín;158702;54031
Lešná;158466;53790
Rajnochovice;158122;53439
Košatka_nad_Odrou;159142;54453
Petøkovice;158544;53854
Chorynì;158386;53696
Petøvaldík;159111;54406
Kostelany_nad_Moravou;156945;52221
Jièina;158623;53890
Teèovice;157507;52762
Antošovice;159692;54944
Koblov;159598;54849
Huštìnovice;157146;52393
Nedakonice;156901;52144
Albrechtièky;159045;54287
Starı_Jièín;158646;53885
Podhradní_Lhota;158146;53385
Moravskı_Písek;156769;51998
Cerony;157173;52400
Šenov;158762;53984
Kladeruby;158377;53595
Palaèov;158558;53772
abárna;157734;52943
Racková;157687;52875
Napajedla;157349;52536
Hostišová;157612;52773
Rusava;157915;53067
Kudlovice;157221;52372
Lhota_u_Kelèe;158270;53415
Franckovice;157707;52850
Kunín;158828;53969
Janova;159378;54506
Hošálkovice;159518;54642
Starojická_Lhota;158633;53753
Nìmetice;158408;53525
Kelè;158331;53446
Jalubí;157172;52284
Zlechov;157037;52138
Bernartice_nad_Odrou;158752;53843
Traplice;157219;52309
Chvalèov;158045;53134
Bzenec;156715;51801
Jorní_Lapaè;157766;52851
eranovice;157733;52813
Ludgeøovice;159649;54720
Halenkovice;157347;52415
Zámrsky;158420;53483
Provodovice;158243;53305
Klimkovice;159322;54378
Boršice;157000;52053
Šilheøovice;159763;54811
Velehrad;157137;52183
Bobrovníky;159591;54628
lutava;157439;52471
Polouvsí;158661;53693
Vrablovec;159630;54660
Rúdník;156563;51593
Rouské;158310;53337
Bravantice;159223;54248
Chvalèova_Lhota;158067;53090
Markvartovice;159699;54708
Milotice_nad_Beèvou;158517;53519
Pustkovec;159493;54491
Horní_Tìšice;158386;53358
opy;157864;52828
Bøestek;157104;52068
Hılov;159351;54314
Bìlov;157491;52454
Míškovice;157685;52647
Jeseník_nad_Odrou;158758;53716
Ratíškovice;156544;51497
Tvrdonice;156034;50983
Kostice;155990;50936
Bystøice_pod_Hostınem;158078;53022
Blahutovice;158676;53617
Vøesina;159437;54377
Mikulèice;156213;51153
Buchlovice;157076;52016
Velké_Albrechtice;159201;54132
Malhotice;158368;53292
Stará_Plesná;159545;54455
Syrovín;156883;51792
Dìhylov;159582;54490
Zahnašovice;157775;52680
Hluèín;159673;54576
Hlinsko_pod_Hostınem;157991;52888
Ha;159829;54718
Moravská_Nová_Ves;156170;51041
Špièky;158554;53423
Holešov;157867;52735
Kujavy;159051;53918
Mrlínek;158171;53035
Ludslavice;157758;52622
Darkovièky;159747;54606
Zbyslavice;159377;54226
Bıškovice;158296;53142
Hostìjov;156929;51771
eravice;156873;51712
Bílovec;159220;54047
Kurovice;157725;52547
Dobroslavice;159617;54423
Všetuly;157840;52642
Mankovice;158840;53640
Dolní_Vrané;158813;53604
Èavisov;159454;54242
Salaš;157250;52028
Kletné;158946;53721
Osvìtimany;156978;51749
Køtomil;158109;52879
Jilešovice;159669;54424
Horní_Vrané;158794;53549
Horní_Nìtèice;158304;53053
Sulimov;157525;52269
Dolní_Bojanovice;156348;51086
Dubòany;156534;51270
Boøenovice;157957;52693
Záhlinice;157729;52462
Teplice_nad_Beèvou;158491;53220
ákovice;158254;52980
Jílovec;159138;53863
Paršovice;158403;53126
Skoronice;156740;51460
Blazice;158216;52936
Velká_Polom;159563;54280
Kolièín;157862;52574
Kelèany;156817;51521
Dolní_Nìtèice;158324;53025
Pohoø;158913;53610
Labuty;156949;51643
Rymice;157894;52579
Pacetluky;158014;52697
Bravinné;159213;53886
Jarohnìvice;156543;51203
Radkovy;158196;52844
Radkova_Lhota;158214;52862
Pravèice;157838;52486
Dìrnì;159126;53774
Závada;159853;54497
Símøe;158288;52931
Fulnek;159080;53710
Velké_Tìšany;157586;52208
Bøeclav;156029;50646
Újezdsko;157483;52098
Josefovice;159597;54203
Tìšnovice;157650;52249
Turovice;158156;52742
Dolní_Benešov;159747;54325
Hulín;157814;52391
Odry;158920;53493
Stupava;157175;51746
Poštorná;156014;50581
Zlámanka;157565;52131
Starı_Poddvorov;156399;50965
Budišovice;159556;54119
Oprostovice;158304;52861
Bezuchov;158281;52826
Hrabynì;159624;54164
Nahošovice;158201;52734
Drahotuše;158561;53080
Novı_Poddvorov;156379;50883
Ulièka;159285;53779
Skrice;157555;52044
Charvátská_Nová_Ves;156055;50540
Bílany;157795;52279
Šišma;158285;52764
Støíte_nad_Ludinou;158750;53217
Šelešovice;157615;52080
Olšovec;158688;53152
Kladníky;158348;52809
Roštín;157404;51858
Ladná;156177;50616
Cetechovice;157351;51784
Èechy;158173;52603
Zdounky;157529;51957
Slavíè;158539;52965
Kromìøí;157753;52179
Hrabství;159423;53847
Hrabùvka;158651;53074
Hluboèec;159490;53911
Bolatice;159846;54251
Milenov;158600;53001
Tın_nad_Beèvou;158454;52854
Šardice;156685;51084
Bøest;157923;52322
Støílky;157248;51646
Chuchelná;159957;54350
Skaštice;157863;52252
Lebedov;157477;51866
Tìšánky;157506;51883
Sobùlky;156863;51237
Chvalnov;157335;51705
Beòov;158136;52504
Velké_Bílovice;156318;50677
Koryèany;157140;51493
Pavlovice_u_Pøerova;158302;52643
Gruèovice;159284;53624
Jakubèovice_nad_Odrou;159024;53363
Podvihov;159602;53926
Hovorany;156656;50980
alkovice;157990;52308
Na_Kamenné_Hospodì;159589;53907
Nové_Sedlice;159687;54004
Skøipov;159420;53731
Štítina;159728;54037
Honìtice;157452;51759
Ostrovánky;156937;51241
Podivín;156242;50545
Dolejší_Kunèice;159193;53494
Valtice;155970;50265
Janèí;159257;53551
Tuèín;158253;52545
Strabenice;157406;51696
Stavìšice;156805;51091
Vìteøov;156891;51168
Lipník_nad_Beèvou;158487;52758
Èejè;156629;50895
Plešovec;157885;52145
Zborovice;157596;51854
Postoupky;157820;52077
Horní_Moštìnice;158119;52376
Hilbrovice;158911;53168
Strahovice;160007;54261
Mouchnice;157158;51407
Štìpánkovice;159864;54112
Jakubèovice;159508;53755
Nenkovice;156810;51033
Kravaøov;159728;53938
Kyselovice;158007;52206
Kylíøov;158838;53026
Støedolseí;158720;52906
Zlobice;157766;51938
Vìtøkovice;159298;53461
Draùvky;156898;51057
Osek_nad_Beèvou;158436;52585
Bochoø;158148;52285
Vìky;157712;51844
Klokoèùvek;159113;53242
Potštát;158838;52955
Lubomìø;159004;53119
Chvalíkovice;159634;53733
Kovalovice_u_Kojetína;157803;51872
Boškov;158800;52858
Vlèí_Doly;157735;51781
Morkovice-Slíany;157591;51634
Chlebièov;159870;53902
Pøedmostí;158295;52325
Hradec_nad_Moravicí;159598;53628
Nemochovice;157377;51405
Sluovice;159963;53985
Hnìvošice;160010;54025
imrovice;159549;53558
Dobroèkovice;157321;51327
Kylešovice;159741;53742
Dluhonice;158255;52248
Pøítluky;156336;50322
Bulhary;156261;50246
Lubomìø_pod_Stránou;159007;52985
arošice;156930;50901
Henèlov;158205;52174
Krumvíø;156765;50731
Nesovice;157284;51243
Velké_Pavlovice;156495;50448
Ranošov;158684;52637
Pornice;157593;51542
Domoradovice;159506;53454
Sobíšky;158412;52352
Tøebom;160148;54076
Stamìøice;158582;52509
Na_Mušlovì;156128;50047
Lazníky;158476;52394
Komorov;157382;51287
Opava;159804;53708
Olovìná;159085;52989
Èekynì;158378;52281
Morkùvky;156692;50587
Svrèov;158545;52429
Uhøièice;157989;51871
Pavlovice_u_Kojetína;157766;51638
Na_Potoku;159484;53350
Kašnice;156789;50649
Zábeštní_Lhota;158438;52293
Nové_Mlıny;156345;50191
Lazníèky;158546;52380
Nové_Hvìzdlice;157419;51251
Damboøice;156922;50753
Zdravá_Voda;157021;50850
Starovièky;156504;50326
Penèice;158448;52260
Lobodice;158065;51876
Klobouèky;157224;51028
Zákøov;158546;52348
Klobouky;156787;50589
Kovalovice_u_Tíštína;157716;51508
Vrchoslavice;157866;51655
Staré_Hvìzdlice;157451;51227
Mikolajice;159607;53380
Ascherwinkel;158933;52700
Jaktaø;159839;53605
Horní_Bojanovice;156639;50400
Rudoltovice;159124;52873
Mouøínov;157189;50935
Kokory;158383;52126
Nová_Ves_nad_Odrou;158887;52626
Palhanec;159877;53614
Moøice;157858;51591
Hruška;157948;51680
Polkovice;158054;51778
Nìmèice_nad_Hanou;157894;51618
Moradorf;159433;53139
Velké_Hostìrádky;156906;50611
Tovaèov;158179;51864
Citov;158297;51976
Šakvice;156472;50143
Tvorovice;157998;51666
Dolní_ivotice;159671;53339
Brodek_u_Pøerova;158349;52015
Varhoš;158798;52460
Suchonice;158487;52146
Vávrovice;159927;53583
Moravské_Málkovice;157622;51272
Bohaté_Málkovice;157404;51048
Klentnice;156303;49934
Kurdìjov;156665;50290
Stìboøice;159799;53416
Olejovice;158977;52591
Obìdkovice;158062;51676
Diváky;156764;50375
Majetín;158394;51999
Bohdalice;157484;51089
Hustopeèe;156611;50213
Medlovice;157678;51279
Bavory;156271;49867
Kruberk;159462;53050
Vlaštovièky;159886;53473
Drkovice;159952;53539
Døevnovice;157850;51430
Jezdkovice;159754;53324
Litultovice;159692;53254
Moravské_Prusy;157614;51175
Polièky;157934;51494
Doloplazy;157921;51480
Níkovice;157151;50705
Boškùvky;157653;51200
Budišov_nad_Budišovkou;159344;52889
Klenovice_na_Hané;158089;51633
Borkovany;156890;50430
Staré_Lublice;159494;53032
Manerov;157538;51076
Nenakonice;158318;51850
Klopotovice;158228;51752
Pivín;158031;51554
Kuèerov;157499;51016
Letonice;157367;50877
Svésedlice;158633;52140
Ivanovice_na_Hané;157777;51280
Milešovice;157065;50563
Šitboøice;156846;50339
Dolní_Vìstonice;156439;49932
Jamnice;159873;53364
Nikolèice;156778;50263
Horní_Vìstonice;156399;49877
Dobromilice;157947;51425
Starovice;156645;50120
Nové_Lublice;159561;53034
Hluboèany;157537;51001
Èelèice;158119;51581
Strachotín;156497;49954
Neplachovice;159975;53430
Mladecko;159674;53125
Mìsto_Libavá;159109;52560
Nepøivaz;158878;52324
Dolní_Dunajovice;156334;49778
Velkı_Tınec;158560;52001
Stemplovec;159936;53367
Holasovice;159995;53425
Hlavnice;159758;53184
Bolelouc;158389;51806
Grygov;158523;51927
Tìšany;156927;50310
Vsisko;158568;51947
Otnice;157077;50443
Váany_nad_Litavou;157212;50571
Posluchov;158824;52182
Otonovice;158202;51558
Køeèkovice;157687;51031
Èehovice;158184;51525
Slavkov_u_Brna;157290;50629
Hrubèice;158240;51579
Rostìnice;157558;50896
Hrdiboøice;158331;51661
Lesy;159491;52812
Drahlov;158437;51755
Trhavice;159210;52526
Vyškov;157688;50997
Lošov;158787;52094
Norberèany;159213;52519
Heroltovice;159157;52463
Podbøeice;157480;50784
Hoøejší_Kunèice;159619;52923
Charváty;158459;51762
Drysice;157871;51173
Nouzka;157662;50954
Novı_Pøerov;156191;49481
Vıšovice;158132;51417
Pouzdøany;156590;49875
Krouek;157421;50688
Velké_Heraltice;159920;53186
Bedihoš;158234;51499
Seibersdorf;159135;52399
Nosálovice;157673;50937
Kralice_na_Hané;158281;51541
Radíkov;158835;52087
Rozáøín;156969;50217
Velké_Nìmèice;156773;50016
Štìtovice;158388;51631
Èechynì;157459;50702
Šaratice;157176;50411
Bohdanovice;159679;52914
Ondratice;157961;51191
Drodín;158771;52000
Rousínovec;157429;50653
Svatı_Kopeèek;158817;52033
Stará_Libavá;159289;52494
Brod_nad_Dyjí;156401;49606
Kralièky;158351;51553
Moravská_Harta;159605;52795
Vrbátky;158426;51600
Velešovice;157373;50547
Èechùvky;158314;51485
Otaslavice;158043;51213
Samotíšky;158817;51984
Nemilany;158580;51747
Nemojany;157589;50741
Ivaò;156575;49727
Jevišovka;156251;49398
ešov;158199;51338
Jalovisko;156981;50117
Hamiltony;157777;50906
atèany;157081;50201
Jívová;159069;52184
Drnholec;156344;49458
Vrahovice;158352;51454
Staré_Heøminovy;159786;52877
Tıneèek;158797;51886
Slavonín;158621;51704
Kobylnièky;158056;51117
Hranièné_Petrovice;159171;52215
Pøibice;156677;49720
Hablov;158497;51540
Urèice;158177;51219
Kolná;160035;53073
Pøísnotice;156810;49841
Blaovice;157330;50358
Bärwinkel;159573;52600
Prostìjov;158310;51336
Horní_ivotice;159900;52922
Èabová;159381;52402
Lašany;158954;51971
Pístovice;157674;50682
Kovalovice;157455;50457
Sokolnice;157165;50165
Hlušovice;158842;51832
Moravskı_Beroun;159340;52326
Myslejovice;158101;51083
Paøezovice;157815;50795
Froblov;159948;52917
Trusovice;158904;51867
Domašov_u_Šternberka;159059;52014
Hrušovany_nad_Jevišovkou;156256;49208
Unkovice;156862;49812
Ponìtovice;157287;50227
idlochovice;156926;49856
Horní_Benešov;159894;52808
Nové_Valteøice;159497;52409
Smrice;158418;51321
Pozoøice;157471;50372
Tvaroná;157414;50314
Bıkov;160169;53066
Jezera;157496;50388
Zeschdorf;159162;52043
Roudno;159667;52541
Vlasatice;156588;49453
Horní_Lodìnice;159267;52132
Hrušovany_u_Brna;156924;49783
Dvorska;157251;50102
Mostkovice;158311;51156
Prostìjovièky;158174;51008
Pohoøelice;156740;49573
Dyjákovice;156070;48903
Velatice;157432;50261
Èelechovice_na_Hané;158452;51281
Køelov;158768;51594
Nové_Dvorce;159243;52055
Stichovice;158315;51123
Skalov;158678;51481
Ústín;158679;51473
Rajhradice;157094;49888
Smolín;156825;49615
Pravice;156299;49083
Tøebèín;158560;51343
Louèka;157091;49873
Troskotovice;156541;49313
Guntramovice;160222;52993
Rebešovice;157136;49906
Plumlov;158292;51045
Èeladice;157065;49818
Bøuchotín;158795;51536
Chrlice;157222;49961
Dìtøichov_nad_Bystøicí;159469;52205
Mokrá_Horákov;157523;50249
Lubìnice;158644;51361
Moravská_Huzová;159021;51733
Ohrozim;158357;51062
Odrovice;156835;49527
Brantice;160203;52887
Horní_leb;159277;51958
árovice;158278;50955
Bukovinka;157752;50428
Liboš;159013;51675
Staøechovice;158505;51161
Medlov;156912;49567
Chabièov;159251;51890
Modøice;157182;49813
Malešovice;156875;49504
Tylov;159659;52282
Líšeò;157463;50085
Jeník;160297;52919
Trnové_Pole;156624;49228
Sluín;158533;51133
Podomí;157903;50500
Èeské_Køídlovice;156267;48850
Hnojice;159092;51672
Drahanovice;158651;51231
Hynkov;158943;51519
elešice;157174;49744
Èechy_pod_Kosíøem;158563;51113
Kupaøovice;156938;49472
Rusín;160671;53203
Valšov;159787;52314
Krásensko;157966;50490
Valtrovice;156140;48663
Øídeè;159250;51770
Vícov;158363;50879
Drahany;158186;50692
Náklo;158895;51389
Krásné_Louèky;160394;52884
Pravlov;156978;49463
Èaková;160161;52644
Hrozová;160667;53149
Køtiny;157751;50232
Senetáøov;157935;50412
Hùzová;159424;51894
Námìš_na_Hané;158727;51196
Otinoves;158148;50615
Senice_na_Hané;158797;51257
Marianín;158050;50509
Støeò;159013;51461
Staré_Ptení;158443;50885
Mezice;158917;51359
Kubšice;156802;49239
Bílovice_nad_Svitavou;157591;50017
Pelhøimovy;160571;52991
Našimìøice;156699;49118
Kotvrdovice;157936;50353
Bousín;158256;50669
Tikovice;157150;49559
Slezské_Rudoltice;160659;53060
Bøidlièná;159717;52113
Unèovice;158932;51318
Strukov;159147;51526
Knìpole;159555;51930
Dolní_Kounice;157024;49395
Jedovnice;157902;50268
Krasová;157956;50304
Hnízdo;156053;48400
Senièka;158823;51169
Laškov;158669;51006
Odrlice;158855;51186
Niva;158225;50555
Opavice;160482;52810
Ves_Opavice;160487;52804
Piskoøov;160564;52880
Bohutice;156772;49073
Rudice;157879;50177
Nové_Bránice;157028;49325
Kreuz;159485;51780
Dolní_Povelice;160749;53043
Vraclávek;160402;52695
Pøemyslovice;158580;50867
Novı_Les;160644;52918
Lechovice;156393;48665
Haukovice;159304;51576
Cakov;158807;51074
Silùvky;157139;49404
Osoblaha;160881;53146
Albrechtice_u_Rımaøova;159710;51975
Ostrov_u_Macochy;158024;50288
Hutdörfel;159577;51837
Stánské;159666;51920
Burkvíz;160449;52703
Molenburk;158185;50438
Malé_Hradisko;158379;50630
Prštice;157168;49412
Moravské_Bránice;157066;49309
Široká_Niva;160207;52444
Holštejn;158100;50333
Tìchanov;159518;51745
Housko;158173;50398
Bosonohy;157361;49582
Buèávka;160661;52869
Sovinec;159534;51738
Mìsto_Albrechtice;160521;52724
Troubsko;157342;49532
Malá_Véska;160043;52231
Litovel;159044;51228
Staré_Purkartice;160403;52582
Stošíkovice_na_Louce;156469;48645
Útìchov;157719;49892
Kruzperk;160434;52601
Protivanov;158347;50508
Jamartice;159804;51963
Myslechovice;158961;51119
Olomuèany;157859;50015
Haòovice;158979;51135
Hate;156049;48200
Dìtøichovice;160173;52323
Renoty;159168;51313
Vrbovec;156159;48302
Šošùvka;158114;50256
Rudíkovy;160598;52740
Horní_Dlouhá_Louèka;159415;51555
Mokrá_Hora;157638;49773
Oøešín;157690;49819
Èervenka;159106;51233
Dívèí_Hrad;160780;52902
Bantice;156426;48547
Hlinka;160896;53016
Køivá;159479;51596
Jehnice;157670;49786
Slezské_Pavlovice;160999;53109
Raková_u_Konice;158743;50852
Dolní_Dlouhá_Louèka;159406;51513
Liptaò;160711;52816
Budìtsko;158678;50781
Unièov;159267;51364
Jednov;158546;50639
Sobaèov;159035;51110
Tìchov;158007;50073
Klepaèov;157906;49972
Rakùvka;158751;50813
Vítonice;156542;48597
Ivanovice_u_Brna;157646;49696
Svìtlá_Hora;160149;52198
Rešov;159616;51665
Horní_Sukolom;159370;51413
Dolní_Moravice;159927;51965
Rımaøov;159782;51815
Polomí;158821;50848
Plinkout;159483;51510
Nové_Purkartice;160325;52346
Klamovka;157891;49911
Omice;157344;49355
Karlovice_Pøední_Ves;160338;52345
Lelekovice;157733;49736
Mladeè;159059;51059
Savín;158961;50959
Hejnov;160529;52524
Mìrotín;159016;51005
Lhota_u_Konice;158584;50569
Kluínek;158766;50748
Dobelice;156855;48836
Dolní_Holèovice;160500;52480
Nové_Karlovice;160341;52320
Moravskı_Krumlov;156957;48935
ïárná;158300;50276
Kyjovice;156524;48500
Edrovice;159811;51785
Letkovice;157105;49074
Luká;158877;50842
Michnov;158732;50691
Horní_Holèovice;160504;52459
eletice;156596;48548
Janušov;159825;51769
